reas_group,reas_desc,state,category1,spare4
Houston|BL1 Reasons|Palletizer 1,FRONT LAYER GUIDE OUT,DOWNTIME,Process Failure,5122
Houston|BL1 Reasons|Palletizer 1,FRONT LAYER GUIDE BACK,DOWNTIME,Process Failure,5123
Houston|BL1 Reasons|Palletizer 1,PUSHER CHAINS JAMMED,DOWNTIME,Process Failure,5124
Houston|BL1 Reasons|Palletizer 1,HOIST DOWN SLOW FAULT,DOWNTIME,Process Failure,5125
Houston|BL1 Reasons|Palletizer 1,HOIST UP FAST FAULT,DOWNTIME,Process Failure,5126
Houston|BL1 Reasons|Palletizer 1,PC-12 BLOCKED FAULT,DOWNTIME,Process Failure,5127
Houston|BL1 Reasons|Palletizer 1,HOIST DOWN FAST FAULT,DOWNTIME,Process Failure,5128
Houston|BL1 Reasons|Palletizer 1,STRIPPER PLATE FAULT,DOWNTIME,Process Failure,5129
Houston|BL1 Reasons|Palletizer 1,GATE FAULT,DOWNTIME,Process Failure,5130
Houston|BL1 Reasons|Palletizer 1,PAL EJECT CARRIAGE FAULT,DOWNTIME,Process Failure,5131
Houston|BL1 Reasons|Palletizer 1,PAL DISP CARRIAGE FAULT,DOWNTIME,Process Failure,5132
Houston|BL1 Reasons|Palletizer 1,PAL DISP ANGLES FAULT,DOWNTIME,Process Failure,5133
Houston|BL1 Reasons|Palletizer 1,FULL LOAD CONVEY FAULT,DOWNTIME,Process Failure,5134
Houston|BL1 Reasons|Palletizer 1,TIE SHEET DISPENSER FAULT,DOWNTIME,Process Failure,5135
Houston|BL1 Reasons|Palletizer 1,SLIP SHEET DISPENSER FAULT,DOWNTIME,Process Failure,5136
Houston|BL1 Reasons|Palletizer 1,PALLET DETECT DISABLE,DOWNTIME,Process Failure,5137
Houston|BL1 Reasons|Palletizer 1,Future Fault 5138,DOWNTIME,Process Failure,5138
Houston|BL1 Reasons|Palletizer 1,Future Fault 5139,DOWNTIME,Process Failure,5139
Houston|BL1 Reasons|Palletizer 2,Fault Learning,DOWNTIME,Process Failure,5200
Houston|BL1 Reasons|Palletizer 2,Machine Aborted,DOWNTIME,Process Failure,5201
Houston|BL1 Reasons|Palletizer 2,Emergency Stop,DOWNTIME,Process Failure,5202
Houston|BL1 Reasons|Palletizer 2,Machine Held,DOWNTIME,Process Failure,5203
Houston|BL1 Reasons|Palletizer 2,Machine Stopped,DOWNTIME,Process Failure,5204
Houston|BL1 Reasons|Palletizer 2,Machine Idle,DOWNTIME,Process Failure,5205
Houston|BL1 Reasons|Palletizer 2,Machine Suspended,DOWNTIME,Process Failure,5206
Houston|BL1 Reasons|Palletizer 2,Not In Auto,DOWNTIME,Process Failure,5207
Houston|BL1 Reasons|Palletizer 2,Guard Doors/Safeties,DOWNTIME,Process Failure,5208
Houston|BL1 Reasons|Palletizer 2,Invalid PackML State,DOWNTIME,Process Failure,5209
Houston|BL1 Reasons|Palletizer 2,Communication Fault,DOWNTIME,Process Failure,5210
Houston|BL1 Reasons|Palletizer 2|Palletizer 2 Infeed,Infeed Starved,DOWNTIME,Process Failure,5212
Houston|BL1 Reasons|Palletizer 2|Palletizer 2 Sec Infeed,Infeed Starved,DOWNTIME,Process Failure,5213
Houston|BL1 Reasons|Palletizer 2|Palletizer 2 Disch,Discharge Backup,DOWNTIME,Process Failure,5214
Houston|BL1 Reasons|Palletizer 2|Palletizer 2 Sec Disch,Discharge Backup,DOWNTIME,Process Failure,5215
Houston|BL1 Reasons|Palletizer 2|Palletizer 2 Disch,Discharge Stopped,DOWNTIME,Process Failure,5216
Houston|BL1 Reasons|Palletizer 2|Palletizer 2 Sec Disch,Discharge Stopped,DOWNTIME,Process Failure,5217
Houston|BL1 Reasons|Palletizer 2|Palletizer 2 Infeed,Infeed Stopped,DOWNTIME,Process Failure,5218
Houston|BL1 Reasons|Palletizer 2|Palletizer 2 Sec Infeed,Infeed Stopped,DOWNTIME,Process Failure,5219
Houston|BL1 Reasons|Palletizer 2,SIDE LAYER GUIDES OUT,DOWNTIME,Process Failure,5220
Houston|BL1 Reasons|Palletizer 2,SIDE LAYER GUIDES BACK,DOWNTIME,Process Failure,5221
