reas_group,reas_desc,state,category1,spare4
String|Line1 Reasons|Winder1|Rewind,Web Break,DOWNTIME,Process Failure - 2404,2324
String|Line1 Reasons|Winder1|Rewind,No Core,DOWNTIME,Process Failure - 2404,2325
String|Line1 Reasons|Winder1|Rewind,Not Detected,DOWNTIME,Process Failure - 2404,2326
String|Line1 Reasons|Winder1|Rewind,Jammed,DOWNTIME,Process Failure - 2404,2327
String|Line1 Reasons|Winder1|Rewind,Low Core Hopper,DOWNTIME,Process Failure - 2404,2328
String|Line1 Reasons|Winder1|Rewind,Jammed,DOWNTIME,Process Failure - 2404,2329
String|Line1 Reasons|Winder1|Rewind,No Core,DOWNTIME,Process Failure - 2404,2330
String|Line1 Reasons|Winder1|Rewind,Error Following,DOWNTIME,Process Failure - 2404,2331
String|Line1 Reasons|Winder1|Rewind,Error Following,DOWNTIME,Process Failure - 2404,2332
String|Line1 Reasons|Winder1|Rewind,Low Xfer Adhesive,DOWNTIME,Process Failure - 2404,2333
String|Line1 Reasons|Winder1|Rewind,Future Fault 2334,DOWNTIME,Process Failure - 2404,2334
String|Line1 Reasons|Winder1|Rewind,Future Fault 2335,DOWNTIME,Process Failure - 2404,2335
String|Line1 Reasons|Winder1|Rewind,Future Fault 2336,DOWNTIME,Process Failure - 2404,2336
String|Line1 Reasons|Winder1|Rewind,Future Fault 2337,DOWNTIME,Process Failure - 2404,2337
String|Line1 Reasons|Winder1|Rewind,Future Fault 2338,DOWNTIME,Process Failure - 2404,2338
String|Line1 Reasons|Winder1|Rewind,Future Fault 2339,DOWNTIME,Process Failure - 2404,2339
String|Line1 Reasons|Winder1|Rewind,Future Fault 2340,DOWNTIME,Process Failure - 2404,2340
String|Line1 Reasons|Winder1,Extractor,DOWNTIME,Process Failure - 2404,2400
String|Line1 Reasons|Winder1|Extractor,Operator Stop,DOWNTIME,Process Failure - 2404,2401
String|Line1 Reasons|Winder1|Extractor,Communication Fault,DOWNTIME,Process Failure - 2404,2410
String|Line1 Reasons|Winder1|Extractor,Log Not Loaded,DOWNTIME,Process Failure - 2404,2421
String|Line1 Reasons|Winder1|Extractor,Jammed,DOWNTIME,Process Failure - 2404,2422
String|Line1 Reasons|Winder1|Extractor,Jammed,DOWNTIME,Process Failure - 2404,2423
String|Line1 Reasons|Winder1|Extractor,Jammed,DOWNTIME,Process Failure - 2404,2424
String|Line1 Reasons|Winder1|Extractor,No Logs,DOWNTIME,Process Failure - 2404,2425
String|Line1 Reasons|Winder1|Extractor,No Mandrels,DOWNTIME,Process Failure - 2404,2426
String|Line1 Reasons|Winder1|Extractor,Not Extracted,DOWNTIME,Process Failure - 2404,2427
String|Line1 Reasons|Winder1|Extractor,Not Disengaged,DOWNTIME,Process Failure - 2404,2428
String|Line1 Reasons|Winder1|Extractor,Future Fault 2429,DOWNTIME,Process Failure - 2404,2429
String|Line1 Reasons|Winder1|Extractor,Future Fault 2430,DOWNTIME,Process Failure - 2404,2430
String|Line1 Reasons|Winder1|Extractor,Future Fault 2431,DOWNTIME,Process Failure - 2404,2431
String|Line1 Reasons|Winder1|Extractor,Future Fault 2432,DOWNTIME,Process Failure - 2404,2432
String|Line1 Reasons|Winder1|Extractor,Future Fault 2433,DOWNTIME,Process Failure - 2404,2433
String|Line1 Reasons|Winder1|Extractor,Future Fault 2434,DOWNTIME,Process Failure - 2404,2434
String|Line1 Reasons|Winder1|Extractor,Future Fault 2435,DOWNTIME,Process Failure - 2404,2435
String|Line1 Reasons|Winder1|Extractor,Future Fault 2436,DOWNTIME,Process Failure - 2404,2436
String|Line1 Reasons|Winder1|Extractor,Future Fault 2437,DOWNTIME,Process Failure - 2404,2437
String|Line1 Reasons|Winder1|Extractor,Future Fault 2438,DOWNTIME,Process Failure - 2404,2438
String|Line1 Reasons|Winder1|Extractor,Future Fault 2439,DOWNTIME,Process Failure - 2404,2439
String|Line1 Reasons|Winder1|Extractor,Future Fault 2440,DOWNTIME,Process Failure - 2404,2440
String|Line1 Reasons|Winder1,Unwind 1,DOWNTIME,Process Failure - 2404,2500
String|Line1 Reasons|Winder1|Unwind 1,Operator Stop,DOWNTIME,Process Failure - 2404,2501
String|Line1 Reasons|Winder1|Unwind 1,Communication Fault,DOWNTIME,Process Failure - 2404,2510
String|Line1 Reasons|Winder1|Unwind 1,Future Fault 2521,DOWNTIME,Process Failure - 2404,2521
String|Line1 Reasons|Winder1|Unwind 1,Future Fault 2522,DOWNTIME,Process Failure - 2404,2522
String|Line1 Reasons|Winder1|Unwind 1,Future Fault 2523,DOWNTIME,Process Failure - 2404,2523
String|Line1 Reasons|Winder1|Unwind 1,Future Fault 2524,DOWNTIME,Process Failure - 2404,2524
String|Line1 Reasons|Winder1|Unwind 1,Future Fault 2525,DOWNTIME,Process Failure - 2404,2525
String|Line1 Reasons|Winder1|Unwind 1,Future Fault 2526,DOWNTIME,Process Failure - 2404,2526
String|Line1 Reasons|Winder1|Unwind 1,Future Fault 2527,DOWNTIME,Process Failure - 2404,2527
String|Line1 Reasons|Winder1|Unwind 1,Future Fault 2528,DOWNTIME,Process Failure - 2404,2528
String|Line1 Reasons|Winder1|Unwind 1,Future Fault 2529,DOWNTIME,Process Failure - 2404,2529
String|Line1 Reasons|Winder1|Unwind 1,Future Fault 2530,DOWNTIME,Process Failure - 2404,2530
String|Line1 Reasons|Winder1,Unwind 2,DOWNTIME,Process Failure - 2404,2600
String|Line1 Reasons|Winder1|Unwind 2,Operator Stop,DOWNTIME,Process Failure - 2404,2601
String|Line1 Reasons|Winder1|Unwind 2,Communication Fault,DOWNTIME,Process Failure - 2404,2610
String|Line1 Reasons|Winder1|Unwind 2,Future Fault 2621,DOWNTIME,Process Failure - 2404,2621
String|Line1 Reasons|Winder1|Unwind 2,Future Fault 2622,DOWNTIME,Process Failure - 2404,2622
String|Line1 Reasons|Winder1|Unwind 2,Future Fault 2623,DOWNTIME,Process Failure - 2404,2623
String|Line1 Reasons|Winder1|Unwind 2,Future Fault 2624,DOWNTIME,Process Failure - 2404,2624
String|Line1 Reasons|Winder1|Unwind 2,Future Fault 2625,DOWNTIME,Process Failure - 2404,2625
String|Line1 Reasons|Winder1|Unwind 2,Future Fault 2626,DOWNTIME,Process Failure - 2404,2626
String|Line1 Reasons|Winder1|Unwind 2,Future Fault 2627,DOWNTIME,Process Failure - 2404,2627
String|Line1 Reasons|Winder1|Unwind 2,Future Fault 2628,DOWNTIME,Process Failure - 2404,2628
String|Line1 Reasons|Winder1|Unwind 2,Future Fault 2629,DOWNTIME,Process Failure - 2404,2629
String|Line1 Reasons|Winder1|Unwind 2,Future Fault 2630,DOWNTIME,Process Failure - 2404,2630
String|Line1 Reasons|Winder1,Log Saw,DOWNTIME,Process Failure - 2404,2800
String|Line1 Reasons|Winder1|Log Saw,Operator Stop,DOWNTIME,Process Failure - 2404,2801
String|Line1 Reasons|Winder1|Log Saw,Communication Fault,DOWNTIME,Process Failure - 2404,2810
String|Line1 Reasons|Winder1,Log Saw Infeed,DOWNTIME,Process Failure - 2404,2812
String|Line1 Reasons|Winder1,Log Saw Discharge,DOWNTIME,Process Failure - 2404,2814
String|Line1 Reasons|Winder1|Log Saw,Jammed Fault 66,DOWNTIME,Process Failure - 2404,2821
String|Line1 Reasons|Winder1|Log Saw,Jammed Fault 91,DOWNTIME,Process Failure - 2404,2822
String|Line1 Reasons|Winder1|Log Saw,Dropped Log,DOWNTIME,Process Failure - 2404,2823
String|Line1 Reasons|Winder1|Log Saw,Axis Fault,DOWNTIME,Process Failure - 2404,2824
String|Line1 Reasons|Winder1|Log Saw,Future Fault 2825,DOWNTIME,Process Failure - 2404,2825
String|Line1 Reasons|Winder1|Log Saw,Future Fault 2826,DOWNTIME,Process Failure - 2404,2826
String|Line1 Reasons|Winder1|Log Saw,Future Fault 2827,DOWNTIME,Process Failure - 2404,2827
String|Line1 Reasons|Winder1|Log Saw,Future Fault 2828,DOWNTIME,Process Failure - 2404,2828
String|Line1 Reasons|Winder1|Log Saw,Future Fault 2829,DOWNTIME,Process Failure - 2404,2829
String|Line1 Reasons|Winder1|Log Saw,Future Fault 2830,DOWNTIME,Process Failure - 2404,2830
String|Line1 Reasons|Winder1,Tail Seal,DOWNTIME,Process Failure - 2404,2900
String|Line1 Reasons|Winder1|Tail Seal,Operator Stop,DOWNTIME,Process Failure - 2404,2901
String|Line1 Reasons|Winder1|Tail Seal,Communication Fault,DOWNTIME,Process Failure - 2404,2910
String|Line1 Reasons|Winder1,Tail Seal Infeed,DOWNTIME,Process Failure - 2404,2912
String|Line1 Reasons|Winder1,Tail Seal Discharge,DOWNTIME,Process Failure - 2404,2914
String|Line1 Reasons|Winder1|Tail Seal,Jam Infeed Rolls,DOWNTIME,Process Failure - 2404,2921
String|Line1 Reasons|Winder1|Tail Seal,Jam Accum Infeed,DOWNTIME,Process Failure - 2404,2922
String|Line1 Reasons|Winder1|Tail Seal,Log Slip Infd Rolls,DOWNTIME,Process Failure - 2404,2923
