Site,Asset Name,MES Ent in ABLE,Type,PLC
Atlanta Main,Fragrance to Side B,None,VIRT,Process TLX PLC
Atlanta Main,Fresh Scent - Side B,None,VIRT,Process TLX PLC
Atlanta Main,TMMR Scent to Side B,None,VIRT,Process TLX PLC
Atlanta Main,T-1231 TMMR to HC2,None,VIRT,Process TLX PLC
Atlanta Main,T-1233 CCU to HC2,None,VIRT,Process TLX PLC
Atlanta Main,HC2 to T-1231 TMMR,None,VIRT,Process TLX PLC
Atlanta Main,HC2 to T-1233 CCU,None,VIRT,Process TLX PLC
Atlanta Main,T-1231 TMMR to HC4,None,VIRT,Process TLX PLC
Atlanta Main,T-1232 Swing to HC4,None,VIRT,Process TLX PLC
Atlanta Main,T-1233 CCU to HC4,None,VIRT,Process TLX PLC
Atlanta Main,T-4003 FMMR to HC4,None,VIRT,Process TLX PLC
Atlanta Main,HC4 to T-1231 TMMR,None,VIRT,Process TLX PLC
Atlanta Main,HC4 to T-1232 Swing,None,VIRT,Process TLX PLC
Atlanta Main,HC4 to T-1233 CCU,None,VIRT,Process TLX PLC
Atlanta Main,HC4 to T-4003 FMMR,None,VIRT,Process TLX PLC
Atlanta Main,T-1231 TMMR to HC5,None,VIRT,Process TLX PLC
Atlanta Main,T-1232 Swing to HC5,None,VIRT,Process TLX PLC
Atlanta Main,T-1233 CCU to HC5,None,VIRT,Process TLX PLC
Atlanta Main,T-4003 FMMR to HC5,None,VIRT,Process TLX PLC
Atlanta Main,HC5 to T-1231 TMMR,None,VIRT,Process TLX PLC
Atlanta Main,HC5 to T-1232 Swing,None,VIRT,Process TLX PLC
Atlanta Main,HC5 to T-1233 CCU,None,VIRT,Process TLX PLC
Atlanta Main,HC5 to T-4003 FMMR,None,VIRT,Process TLX PLC
Atlanta Main,LD4,None,VIRT,LD4 Filler PLC
Atlanta Main,LD4 Depal,None,VIRT,LD4 Depal PLC
Atlanta Main,LD4 Labeler,None,VIRT,LD4 Labeler PLC
Atlanta Main,LD4 Filler,None,VIRT,LD4 Filler PLC
Atlanta Main,LD4 Capper,None,VIRT,LD4 Capper PLC
Atlanta Main,LD4 Carton Load,None,VIRT,LD4 Carton Loader PLC
Atlanta Main,LD4 Case Erector,None,VIRT,LD4 Case Erector PLC
Atlanta Main,LD4 Case Packer,None,VIRT,LD4 Case Packer PLC
Atlanta Main,LD4 Case Sealer,None,VIRT,LD4 Case Sealer PLC
Atlanta Main,LD4 Case Coder,None,VIRT,LD4 Case Coder PLC
Atlanta Main,LD4 Palletizer,None,VIRT,LD4 Palletizer PLC
Atlanta Main,LD4 Stretch Wrap,None,VIRT,LD4 Stretch Wrapper PLC
Atlanta Main,PMLx-LD4 Depal,None,VIRT,LD4 Depal PLC
Atlanta Main,PMLx-LD4 Labeler,None,VIRT,LD4 Labeler PLC
Atlanta Main,PMLx-LD4 Filler,None,VIRT,LD4 Filler PLC
Atlanta Main,PMLx-LD4 Capper,None,VIRT,LD4 Capper PLC
Atlanta Main,PMLx-LD4 Carton Loa,None,VIRT,LD4 Carton Loader PLC
Atlanta Main,PMLx-LD4 Case Erecto,None,VIRT,LD4 Case Erector PLC
Atlanta Main,PMLx-LD4 Case Packe,None,VIRT,LD4 Case Packer PLC
Atlanta Main,PMLx-LD4 Case Seale,None,VIRT,LD4 Case Sealer PLC
Atlanta Main,PMLx-LD4 Case Code,None,VIRT,LD4 Case Coder PLC
Atlanta Main,PMLx-LD4 Palletize,None,VIRT,LD4 Palletizer PLC
Atlanta Main,PMLx-LD4 Stretch Wra,None,VIRT,LD4 Stretch Wrapper PLC
Atlanta Main,FLTx-LD4 Capper,None,VIRT,LD4 Capper PLC
Atlanta Main,FLTx-LD4 Case Code,None,VIRT,LD4 Case Coder PLC
Atlanta Main,FLTx-LD4 Case Erecto,None,VIRT,LD4 Case Erector PLC
Atlanta Main,FLTx-LD4 Case Packe,None,VIRT,LD4 Case Packer PLC
Atlanta Main,FLTx-LD4 Depal,None,VIRT,LD4 Depal PLC
Atlanta Main,FLTx-LD4 Filler,None,VIRT,LD4 Filler PLC
Atlanta Main,FLTx-LD4 Palletize,None,VIRT,LD4 Palletizer PLC
Atlanta Main,FLTx-LD4 Stretch Wra,None,VIRT,LD4 Stretch Wrapper PLC
Atlanta Main,FLTx-LD4 Labeler,None,VIRT,LD4 Labeler PLC
Atlanta Main,FLTx-LD4 Carton Loa,None,VIRT,LD4 Carton Loader PLC
Atlanta Main,FLTx-LD4 Case Seale,None,VIRT,LD4 Case Sealer PLC
Atlanta Main,LD4 Lab-Fill-Cap,None,VIRT,LD4 SLCS PLC
Atlanta Main,LD4 Case Feed,None,VIRT,LD4 SLCS PLC
Atlanta Main,LD4 Pack-Seal-Code,None,VIRT,LD4 SLCS PLC
Atlanta Main,LD4 Pall-Wrap,None,VIRT,LD4 SLCS PLC
Atlanta Main,CK-LD4 Lab-Fill-Cap,None,VIRT,LD4 SLCS PLC
Atlanta Main,CK-LD4 Case Feed,None,VIRT,LD4 SLCS PLC
Atlanta Main,CK-LD4 Pak-Seal-Code,None,VIRT,LD4 SLCS PLC
Atlanta Main,CK-LD4 Pall-Wrap,None,VIRT,LD4 SLCS PLC
Atlanta Main,NEW HC1 Decaser,None,VIRT,HC1 Decaser PLC
Atlanta Main,NEW HC1 Posiflex,None,VIRT,HC1 Posiflex PLC
Atlanta Main,NEW HC1 Giramat,None,VIRT,HC1 Giramat PLC
Atlanta Main,NEW HC1 Filler-Capper,None,VIRT,New HC1 SLCS PLC
Atlanta Main,NEW HC1 Sleever,None,VIRT,HC1 Sleever PLC
Atlanta Main,NEW HC1 Twin Sleever,None,VIRT,HC1 Twin Sleever PLC
Atlanta Main,NEW HC1 Flexlink Accum,None,VIRT,HC1 Flexlink Accum PLC
Atlanta Main,NEW HC1 Case Packer,None,VIRT,HC1 Case Packer PLC
Atlanta Main,NEW HC1 Case Sealer,None,VIRT,New HC1 SLCS PLC
Atlanta Main,NEW HC1 Print And Apply,None,VIRT,HC1 Print And Apply PLC
Atlanta Main,NEW HC1 Palletizer,None,VIRT,HC1 Palletizer PLC
Atlanta Main,NEW HC1 Stretch Wrapper,None,VIRT,HC1 Stretch Wrapper PLC
Atlanta Main,NEW HC2 Decaser,None,VIRT,HC2 SLCS PLC
Atlanta Main,NEW HC2 Posiflex,None,VIRT,HC2 Posiflex PLC
Atlanta Main,NEW HC2 Giramat,None,VIRT,HC2 Giramat PLC
Atlanta Main,NEW HC2 Labeler,None,VIRT,HC2 Labeler PLC
Atlanta Main,NEW HC2 Filler,None,VIRT,HC2 Filler PLC
Atlanta Main,NEW HC2 Capper,None,VIRT,HC2 Capper PLC
Atlanta Main,NEW HC2 Case Packer,None,VIRT,HC2 Case Packer PLC
Atlanta Main,NEW HC2 Case Sealer,None,VIRT,HC2 SLCS PLC
Atlanta Main,NEW HC2 Palletizer,None,VIRT,HC2 Palletizer PLC
Atlanta Main,NEW HC2 Print And Apply,None,VIRT,HC2 Print And Apply PLC
Atlanta Main,NEW HC2 Stretch Wrapper,None,VIRT,HC2 Stretch Wrapper PLC
Atlanta Main,NEW_HC5,None,LINE,None
Atlanta Main,NEW HC5 Decaser,None,SEC,NEW HC5 Decaser PLC
Atlanta Main,NEW HC5 Posiflex,None,SEC,NEW HC5 Posiflex PLC
