reas_group,reas_desc,state,category1,spare4
Belle|Retort|Wood Infeed|Wood Infeed Disch,Discharge Stopped,DOWNTIME,Process Failure,1016
Belle|Retort|Wood Infeed|Wood Infeed Sec Disch,Discharge Stopped,DOWNTIME,Process Failure,1017
Belle|Retort|Wood Infeed|Wood Infeed Infeed,Infeed Stopped,DOWNTIME,Process Failure,1018
Belle|Retort|Wood Infeed|Wood Infeed Sec Infeed,Infeed Stopped,DOWNTIME,Process Failure,1019
Belle|Retort|Wood Infeed|01703 - Conveyance,01703 WD BELT CONV. #3 PULL CORD,DOWNTIME,None,100003
Belle|Retort|Wood Infeed|01704 - Conveyance,01704 H-O-A SWITCH,DOWNTIME,None,100004
Belle|Retort|Wood Infeed|01601 - Conveyance,01601 PIT DRAG CONV. E-STOP,DOWNTIME,None,100005
Belle|Retort|Wood Infeed|01702 - Conveyance,01702 WOOD BELT CONV. #2 BREAKER,DOWNTIME,None,100006
Belle|Retort|Wood Infeed|01834 - Dryer Bypass Screw,01834 DRYER BYPASS SCREW DRIVE FAULT,DOWNTIME,None,100008
Belle|Retort|Wood Infeed|01813 - Fines Screw,01813 H-O-A SWITCH,DOWNTIME,None,100024
Belle|Retort|Wood Infeed|01702 - Conveyance,01702 WOOD BELT CONV. #2 SSL,DOWNTIME,None,100048
Belle|Retort|Wood Infeed|01702 - Conveyance,01702 WD BELT CONV. #2 PULL CORD,DOWNTIME,None,100049
Belle|Retort|Wood Infeed|01705 - Conveyance,01705 H-O-A SWITCH,DOWNTIME,None,100052
Belle|Retort|Wood Infeed|01703 - Conveyance,01703 WOOD BELT CONV. #3 SSL,DOWNTIME,None,100088
Belle|Retort|Wood Infeed|05008 - Rotary Airlock,05008 ROTARY AIRLOCK BREAKER FAULT,DOWNTIME,None,100091
Belle|Retort|Wood Infeed|01834 - Dryer Bypass Screw,01834 DRYER BYPASS SCREW SSL FAULTED,DOWNTIME,None,100092
Belle|Retort|Wood Infeed|01708 - Conveyance,01708 WOOD BELT #8 STARTER FAULT,DOWNTIME,None,100095
Belle|Retort|Wood Infeed|01708 - Conveyance,01708 WOOD BELT #8 OVERLOADS,DOWNTIME,None,100096
Belle|Retort|Wood Infeed|01707 - Conveyance,01707 WOOD BELT CONV. #7 DISC.,DOWNTIME,None,100097
Belle|Retort|Wood Infeed|01707 - Conveyance,01707 WOOD BELT CONV. #7 BREAKER,DOWNTIME,None,100098
Belle|Retort|Wood Infeed|01701 - Conveyance,01701 WOOD BELT CONV. #1 OL,DOWNTIME,None,100099
Belle|Retort|Wood Infeed|00201 - Drywood Bin,00201 WET WOOD FEED BIN LOW LEVEL,DOWNTIME,None,100114
Belle|Retort|Wood Infeed|01814 - Fines Screw,01814 WD FINES SCREW #2 BREAKER,DOWNTIME,None,100116
Belle|Retort|Wood Infeed|01704 - Conveyance,01704 WOOD BELT CONV. #4 SSL,DOWNTIME,None,100138
Belle|Retort|Wood Infeed|01834 - Dryer Bypass Screw,01834 DRYER BYPASS SCREW BREAKER FAULT,DOWNTIME,None,100142
Belle|Retort|Wood Infeed|00203 - Drywood Bin,00203 DRY WOOD BIN LOW LIMIT,DOWNTIME,None,100150
Belle|Retort|Wood Infeed|01832 - Shaftless Screw,01832 DRY WOOD SHAFTLESS DISC.,DOWNTIME,None,100159
