Site,Asset Name,MES Ent in ABLE,Type,PLC
Burnside,PML-Infeed TF and Doc,None,VIRT,Concentrator PLC
Burnside,PML-Flavored Wood,None,VIRT,Concentrator PLC
Burnside,PML-Hammermill,None,VIRT,Concentrator PLC
Burnside,PML-Minors,None,VIRT,Concentrator PLC
Burnside,PML-Press 1,None,VIRT,Concentrator PLC
Burnside,PML-Press 2,None,VIRT,Concentrator PLC
Burnside,PML-Dryer A,None,VIRT,Concentrator PLC
Burnside,PML-Dryer B,None,VIRT,Concentrator PLC
Burnside,PML-Dryer C,None,VIRT,Concentrator PLC
Burnside,PML-Discharge,None,VIRT,Concentrator PLC
Burnside,PML-Heat Supply,None,VIRT,Concentrator PLC
Burnside,PML-Dry Heat Burner,None,VIRT,Concentrator PLC
Burnside,PML-Line Control,None,VIRT,Concentrator PLC
Burnside,PML-Solvent,None,VIRT,Concentrator PLC
Burnside,PML-Filler,None,VIRT,Concentrator PLC
Burnside,PML-Sealer,None,VIRT,Concentrator PLC
Burnside,PML-Palletizer,None,VIRT,Concentrator PLC
Burnside,PML-Stretchwrapper,None,VIRT,Concentrator PLC
Burnside,PML-Case Packer,None,VIRT,Concentrator PLC
Burnside,PML-Case Erector,None,VIRT,Concentrator PLC
Burnside,PML-Labeler,None,VIRT,Concentrator PLC
Burnside,PML-Dog Bone Applicator,None,VIRT,Concentrator PLC
Burnside,PML-L1 Bag Hanger,None,VIRT,Concentrator PLC
Burnside,PML-L1 Filler,None,VIRT,Concentrator PLC
Burnside,PML-L1 Sealer Doboy,None,VIRT,Concentrator PLC
Burnside,PML-L1 Heat Tunnel,None,VIRT,Concentrator PLC
Burnside,PML-L1 Palletizer,None,VIRT,Concentrator PLC
Burnside,PML-L1 Stretchwrapper,None,VIRT,Concentrator PLC
Burnside,PML-L2 Bag Hanger,None,VIRT,Concentrator PLC
Burnside,PML-L2 Filler,None,VIRT,Concentrator PLC
Burnside,PML-L2 Sealer Doboy,None,VIRT,Concentrator PLC
Burnside,PML-L2 Polypack,None,VIRT,Concentrator PLC
Burnside,PML-L2 Polypack Bypass,None,VIRT,Concentrator PLC
Burnside,PML-L2 Palletizer,None,VIRT,Concentrator PLC
Burnside,PML-L2 Stretchwrapper,None,VIRT,Concentrator PLC
Burnside,PML-Pretreat,None,VIRT,Concentrator PLC
Burnside,PML-Silos Discharge,None,VIRT,Concentrator PLC
